0.74421,-0.57135,0.010773,-0.73646,-1.0351,1.4806,-1.0928,0.59083
0.30167,-0.26182,0.22465,-0.81477,-1.1348,1.5416,-1.3064,0.71182
0.69044,-0.39449,0.28297,-1.0839,-0.8805,1.2834,-1.448,0.94594
0.44975,0.03378,0.25083,-0.75409,-0.77387,1.6922,-1.4368,0.80289
0.67427,-0.31826,0.12663,-1.0186,-0.74907,1.3442,-1.096,0.71702
0.27682,-0.46734,0.32341,-0.97668,-1.0135,1.4027,-1.4372,0.75652
0.7017,-0.45627,-0.29818,-0.79957,-1.128,1.1918,-1.3735,0.70135
0.21742,-0.55713,0.39958,-1.3862,-0.49703,1.1033,-1.2844,0.64715
0.25695,-0.14278,0.4777,-0.70995,-0.71354,1.5545,-1.3767,0.40591
0.58285,-0.17537,0.063533,-0.98584,-1.034,1.53,-1.4155,0.37715
0.33997,-0.59546,-0.025734,-0.77036,-0.77658,1.4811,-1.2913,0.45979
0.65879,-0.24965,-0.093889,-0.96577,-0.68821,1.3311,-1.2908,0.65967
0.41754,-0.35114,0.25922,-0.95713,-0.93984,1.3656,-1.5235,0.73407
0.80114,-0.29926,0.51435,-0.88412,-0.88128,1.4839,-1.3481,0.43455
0.26661,-0.3479,0.24748,-1.1971,-0.65372,1.5509,-0.91415,0.67802
0.57171,-0.26186,0.21111,-0.89011,-0.56048,1.2275,-1.452,0.77151
0.46352,-0.64359,0.3351,-0.92663,-0.66154,1.6691,-1.3481,0.56092
0.39209,-0.47458,0.32345,-0.90094,-1.0119,1.4772,-1.5153,0.35278
0.45923,-0.22196,0.4572,-1.1412,-0.75136,1.744,-1.5274,0.30575
0.3048,-0.25197,0.25016,-0.71763,-0.85227,1.7083,-1.0427,0.31109
0.63002,-0.46097,0.15247,-0.93731,-0.95897,1.5084,-1.4121,0.62295
0.44525,-0.37286,0.18868,-0.88066,-0.70738,1.7294,-1.564,0.65053
0.4167,-0.47945,0.36113,-0.77044,-0.3917,1.6196,-1.2613,0.29147
0.24748,-0.41067,0.12243,-0.82248,-0.74557,1.6771,-1.2114,0.36169
0.38426,-0.49296,0.23756,-0.80491,-0.57609,1.1628,-1.3204,0.63227
